"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"DRAIN_CURRENT";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"PART_STATUS";"POPULARITY";"ROHS_COMPLIANT";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SERIES";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"WE-NUMBER";
"+5VIN";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"3";"";"";"";"";"";"";"";"";"";
"10K";"";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BATTERY";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"3";"";"";"";"";"";"";"";"";"";
"BUZZER";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PIN-LONG-PAD";"JST-XH-02-PACKAGE-LONG-PAD";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"10uf";"CAP_POL_10V";"C/6032-28R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"10uf";"CAP_POL_10V";"C/6032-28R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"10uf";"CAP_POL_10V";"C/6032-28R";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"4.7uf";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"C";"";"";"";"";
"C5";"10n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"C";"";"";"";"";
"C6";"0.1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";"";
